weight.g	max.long.yr
7.00E+07	114
3.00E+07	95
50000	
56000	
80000	
2.20E+06	63
1.06E+06	60
425000	42.5
164000	
208000	27
103000	46
190000	30
3.99E+06	90
206000	47
748000	62.5
46666.7	
280000	
112500	46
112500	57.5
114000	32
200000	51.6
2.85E+07	77
1.14E+07	84
6.50E+06	37
1.09E+06	
5.60E+06	48
2.70E+06	62
84000	31.3
83500	24
40500	
424600	17
1.43E+06	40
1.25E+06	50
32500	33
52500	20.4
120000	22
2.85E+07	77
70000	
7.9	6
150	22.6
38.6	14
8.8	
12.5	12
35	13
23.5	7.6
50	11.8
15.2	10
42.2	19.2
65	
15	17
33.2	29.2
28	8
10	11
25	10.1
11.6	17
16	10.4
43.4	9
81	18
22	13
20	12
45	10.1
75	10
430	12.3
306.25	21.8
80	7.8
80	10.1
18	10
330	
672.1	19.7
775.7	
435	24
1175	40
450	20.3
696.5	15
316.7	20.4
456.3	19.4
675	23.6
	16.7
200	17.2
350	28
300	15.8
872	20.9
527.5	
125	22.9
103	18.7
108.25	14
7	13
8.2	13
22.875	30.5
4.6	29.4
9.8	
20.8	14.8
10.25	23
23	19
13	20
18.2	21
10	12
24	14
13	22
10.5	21
23	33
7	41
15	20.5
8.5	28
11	22.7
7.4	22
9.25	16.5
7.4	19
5.6	12
10	34
28.55	37.1
5.3	24
7.5	23.7
4.2	7
7.7	20
6	18.3
10.1	11.3
25	10
7	21
6.25	14
16	16
27.75	12
11.7	9.7
9.75	6
6	8
10	11
5	16.6
7.5	14.8
7.8	30
12	25.5
11.1	
14.25	20.5
18.7	14.5
2750	
3500	
2150	
840	16.2
3000	25.2
44.3	
5500	22.3
1475	16.8
4850	22.1
33000	15
1500	36.8
1200	
1500	12.5
24	3.5
18	4.7
34	3.4
45	3.9
54	
42	
27.5	5.4
41	3.3
115	7.4
30	
105	8
890	6.2
525	5.9
5500	6.8
1090	6.8
8.5	
10.5	
70	5.5
43	4.7
193.5	5.9
6.9	
4.3	
10	5.8
5.3	5.2
28	
32.5	7
17.5	
38	
6500	13
15	5
12.4	
55	
17.5	3.6
20	4.9
11	
34	5.3
10	5.3
471.5	11
1300	
330	8.7
350	8.9
250	
700	3.1
904	
850	4
1530	4.2
3000	6.6
22	6.1
370	2.9
49.5	
26	3.6
75	5
21	4.5
440	3
35	4.1
90	3.9
105	5.1
320	
450	4.4
13	8.8
51.5	
45	12
30	
40	10.3
500	
9300	
9581	19
7400	23.6
11400	23.8
7200	26.9
8000	20
3570	13.9
5000	12.4
2988	7.9
3000	8.8
1310	13.2
2100	
16000	16.9
49500	19.8
17500	11.8
11250	
6500	15.1
28250	23.2
49500	25
4250	15.9
16500	
30000	22
16200	15.2
55000	25
5500	7.4
5800	5.5
4300	
3700	10.1
1250	11.7
4200	
6000	14.3
6000	14.4
3500	13.8
5000	8.8
	9.4
4100	9.7
3800	9
14625	16.8
318	9.6
127	14.1
572.5	15
110	17.8
405	14.8
7000	
2400	18.9
2500	
3500	17
1300	
3150	
2395	15.9
1700	
9300	22.1
3250	12.8
1725	
1300	
1500	18.8
1200	
1650	15.3
1430	14.5
1040	5.4
1350	
850	10.1
9	
31000	30
25500	29.9
25500	30
500	11.4
745	
309	
1250	
	8
719	7
750	11.7
342	7.6
188	6.3
292	7
3000	13.6
2456.7	
3600	14.8
421.3	
1250	
1600	
2519	13
4175	11.8
2358	
4175	10.7
4175	18
3035.5	
1800	9
900	7.8
700	
1150	9.8
760	7.4
1233	7.6
902.6	9.3
129	
120	9.4
100	7
262.5	
44.3	
50	
52	9.3
48	7.2
58	7.9
40	8.7
210	
540	11
370	
24.05	
1250	22.6
3500	49.5
7500	41.2
53.25	
650	
1250	3.1
485	6.7
1600	6.8
700	6.5
226	5.8
766	6.1
859	5.6
675	3.2
1300	9.6
164998	47
300000	57
384000	31
230000	31.6
275000	30.1
280000	38
296000	33.2
2.18E+06	45
1.26E+06	32.8
1.10E+06	49
1.75E+06	
1.60E+06	43.5
250000	36.5
300000	29.6
148950	28.5
250000	39.6
13014.7	
2350	
3875	
4250	
266	
6250	36.8
6250	41
28500	31
4500	16
4500	19
555	22.2
343.2	16.5
342	17.6
355.8	15
255.2	22.8
342	20
307	15.4
124	18.6
535	21.3
570	17.9
654.5	31.6
495.8	19
456.5	24.9
499.3	20.5
518.5	23.7
501.3	20.5
490	15.2
553.8	21
543.5	20
519.2	20.2
445.5	26.2
5462.5	32.4
5540	
7000	24
7000	
6611	
6543.2	25
1230	30
874	33.8
800	30.1
873	22.1
7535	37
6000	42.8
7000	46
7267.5	47.1
6000	44
7887.5	46
11170	40
2467.5	40.4
2642.5	46
2655	54
2552.5	47
7650	32
615	30.3
788.5	
925	30.2
4702.5	27
8000	31
9467.5	
9492.5	46
3705	31.2
3600	30
3585	36
4550	35.1
3250	24
4425	28.6
4700	24.1
9000	37.8
4500	30
5945	30.8
5465	31
3650	29
3580	27
5250	26
5405	
3390	24
5620	30.8
8625	35.3
9950	35
9525	33.9
7750	28.3
9317.5	36
9275	29.2
9100	31.4
6362.5	39
8882.5	38.5
5575	33
8235	40
7912.5	37.6
7965	34
3950	29
6755	30
7875	40
4370	29.3
10875	29.1
10300	27
11950	28.4
18250	39
23000	40
1384.5	27.7
14617.5	25.1
18000	37.5
6695	
6540	20
6690	
9960	
9720	26
14750	29.5
13516.5	29
16200	36
9720	31.1
6185	28.3
7325	26.3
8100	
12000	34
7080	33.9
8400	28.3
11450	25.2
7081.8	26.1
395	13.4
380	23.2
311.2	17.4
64.8	18.2
55.5	
400	25
2277.5	23.3
315	
273	
175	16.6
192.2	17.1
60	13.4
146.8	
1094.5	22.7
1300	18.3
139842	55.4
62035	122.5
39925	55
44983.5	59.4
64475	59
5925	49
6852.5	46.1
6875	41
5900	37
6810	56
6000	44.1
6207.5	45
5765	60
5735	38
10900	43
5550	21
3545	20
5000	31
2500	27
3150	35.5
2500	36.2
2060	36.2
1765.3	20
1455	
1347.5	23.3
1737.5	17.6
2555	37.3
3873	
3670	37
257.5	13
238.2	19.3
890.5	25.8
419	17.1
1225	26.8
700	
779	
3165	35.8
2935	
1120	26.4
795	25
804	26.2
2910	20
2942.5	19.6
1200	
1200	
1780	25
1480	36
122.5	16.3
144.8	
119.2	16
3.18E+06	65.5
4.80E+06	65
265.5	2.3
1125	
90	20.6
180	15.5
132.5	11
250	16
181	11.2
160	
35	31
4683.3	13.8
1500	13.5
660	
1267	15.9
20250	23.4
25000	
341	6
728	12
637.5	6.3
12500	14.4
337.9	3.5
450	4.6
55000	15.1
950	12.9
642.5	17.2
1250	
1540	19.5
6000	10.8
288.8	5.8
178	
860	
100	
9000	16.3
8999.9	18.9
2650	11.8
2650	14
3500	18
3265	17.8
2700	13.1
2900	16.3
2150	13.8
	13.7
775	14.8
12250	12.8
58.7	5.2
232	4.2
350	7
117.5	4.5
55	7.3
134	5.5
25	
8	
18	5.6
21	
504	7
276	
285	6.8
400	
356.5	
500	5.8
373.5	7
3900	26.6
8600	23.4
2000	16.7
1750	
270	
176.7	12
397	
115.5	6.1
75	
104	
18.7	8.3
19	7.1
14.4	
61	
116	8.6
65	8.3
42	9.7
35.5	
57	9.9
145	12.7
42	
13.4	
11.7	5.9
9	
8	
8	8.3
8	
20.1	5.8
2750	22.9
2000	
24000	23.1
8000	27.3
20000	28
20000	27.1
2740	
	
2000	
45.2	5.9
	4
62.5	
54.4	
20	5.6
47.6	4.7
37.7	
	3.8
50	
21.5	
	5
29.4	4.5
32.9	4.4
44	5.3
23.4	6.3
110	6.7
120	2.5
8	3.3
20.4	9.4
20.4	
650	4.8
29	3.6
20.8	4.9
29.5	
58.5	
144	4.5
	8.8
	
1300	7.4
1500	8.4
	5.3
506.7	3.6
7.4	4.2
13	3.3
54.5	6.1
66	3.3
55	
85	
21.4	
28.4	7.3
30	5.9
18.5	4.5
50	5.5
37	8.2
60	4.4
850	7.3
1250	12.6
20.3	3.8
40	4.1
70	3.3
26.2	4.4
42.3	4.8
177	
332.5	5.3
755	7.5
37.8	
35	5.6
100	5.2
53	6.8
100	6
185	
	
53.2	6.3
150	6.7
900	7.8
268.5	7.1
105	3.9
174	4.4
6	3.8
46	4.8
27.5	4.8
23	
51.6	3.9
36.7	
40	5.3
58	
49	
25.5	3.8
51	
20	
70	4
11.2	
17.7	
7.2	4.3
6	
20.5	4
	3.5
25	
106	6.3
160	20.2
209	9.5
335.5	
291	8.6
236	10.5
236.3	
35	6.4
39	
52	5.3
50	5.7
22	8.4
1362	
32.5	5.6
22	4.6
146.8	
40	8.3
42	5.5
16.5	7.7
25	7.4
40	5.7
23	7.9
20.5	8.3
14	5.5
25	5.4
33	
27	
1750	13.6
1744	10.7
	4.8
23.4	3.9
50.8	
75	
32	7.4
57	3.1
30	5.2
212	3.2
65	7.9
12	6.8
70	6.5
60.1	
12	6.9
64	6
130	5.3
115	4.4
300	3.8
200	4.2
72.2	5.5
10.3	
11	
51	4.5
89	
3000	
285	4.5
47.4	4.5
11.2	
65	7.3
185	5.2
25.5	
334	
27	
220	
74.8	5.7
146.7	7
113	5
51.9	
80	
65	
25	
280	5.4
47	
54.5	
50	
123	6.2
100	7.5
7850	8.5
26	4.1
122.5	6.2
82.5	5.5
27	7
24	6.9
46.1	7.3
27.3	5.3
125	8.7
235	14
158	
98	10.8
3500	20
200	
126	10.6
105	11.2
154.5	
400	
134.5	
257	13.7
272	17
	12.8
190	14.8
400	21.1
157.6	10.4
275	
900	
1125	11
172.5	
100	
147.7	
218	10
106	
271.7	9.5
186	
149	14.2
65.4	19
326.5	8.7
172.7	7.9
175	
7300	
4300	12.1
3500	21.2
3500	17.4
4000	14
4750	12.1
663	9.8
216	
134	
1700	21.4
1650	19.2
1780	
1750	
1652	
459	7.2
	
130	11.4
1187.5	
2000	19
2000	20
	
702.5	
185	
600	11.5
533	23.6
190	
374	11.5
425	
190	
264	
800	16
433.3	
485	15.1
600	14.8
217	6.7
136	7.1
312.5	14
67	11.1
75	10
48.2	
62.8	12.6
44.1	10
86.5	
70	
75	
85	9.6
96	9.5
75	9.3
200	9.8
	
290	
342.5	
150	7.8
163.3	8.9
600	10.3
588	11.5
6600	5.4
42.5	
200	11.1
200	12.4
58.6	12.2
197.8	11.6
350	11.5
360000	73
480000	40
322000	65
1000	
1000	12.1
21.6	2.2
14.5	2.8
45	2.2
11	2.9
11.6	4
7.7	2.8
4.5	3.5
17.5	2.1
15	
15	3.1
7.8	
9	3.2
8.2	
5.4	3
4.3	
9.6	
7.5	
7.2	
6	
5.6	
12	
7.5	
7	
2.1	3.2
45.9	3.2
55.3	2.5
57.5	
97	3.2
62.5	
90	
92.5	
60000	29.8
150000	73.1
	60.7
	24.1
	22
	15.3
	24.1
	30.9
	32.9
	21.8
	50
	25.4
	43.8
	24.6
	31.5
	41.7
	38.2
	21.9
	56.1
40000	70
	28.8
	24.7
430	90
	8.8
	5.8
	6
	6
	
	5
	9.9
	24.4
	15.2
	6
	5.6
	15.3
	18.9
	9.9
500	12
	11.4
	15.3
	17
	15.1
	16
	54
	12.3
	12.3
31.5	9.8
	
	14.8
450	54
	23.9
3532	40.4
	26
	28.4
	21.8
	9.9
	16.9
	16.6
	26.5
450	31
	15.3
	18.6
	15
	22.6
	31
	14.2
	21.7
	24.4
	23.9
	22.1
	24.3
	24.7
	24.4
	24
	23.2
	31.8
	23.6
	20.7
	28.2
	17.8
	4
	3.6
	4
	8.2
	0.4
	5.2
	19.1
	23.8
	12.6
	9.6
	17
	13.1
	8.2
	10.4
	4
	11.5
	8.4
	10
	13.8
	
	8.6
	22.1
	13.7
	25.9
	16.3
	13.1
	16.3
900	32.3
	15
	21.1
	33.9
	16.8
	13.7
	23
	11.6
	17
	4.2
	13.6
	19
	15.1
	19.8
	9.1
	16.9
	12.2
	19.7
	23.8
	33.3
	15.6
	22.4
	22.6
	28.8
	9
	27.2
	7.7
	5.9
	20.2
	10.9
96.25	20
	14.8
	9.6
	6.1
	7.2
	6.1
	15.2
	33.8
	22.4
	5.8
	8.3
	11.3
	19.3
	13.3
	19.8
	14.3
	19.8
	17
	17.5
	7
	4.6
	7.6
	14
	7.7
	10.8
	17.8
	7
	15.8
	8.4
	10.6
150	14
	11.8
	18.9
	7.2
	9.5
	20.2
	15.6
	24.9
	19.8
	24
	17.2
	15.6
	14
	13
	9.1
	7.1
	15.4
	9.3
	9
	13.5
	17.4
	13.2
	13.7
	18.8
	13.1
	26.2
	18.7
	11.6
	13
	17.6
	19
	11.7
	22.1
	25.4
	29.1
	16.7
	32.3
	23.2
	26
	20.2
	11.4
	13.5
	14.1
	22.5
	15.6
	11.1
	11.6
	11
	15.2
	10.8
	6.1
	12.8
	28.5
	10.5
	23.5
	
	8.4
	16.2
	13.6
	25
	21
	37
	13
	20
	16
	16
	13
	21.2
	7.4
	9.3
	17.8
	7.1
	8.7
	10
	13.6
	9.6
	15.9
	10.9
	8.5
	12.6
	12
	34.4
	28.9
	6.4
	5.9
	17.1
	
	13.8
	9.6
	10.2
	8.2
	22.4
	22.9
	23.4
	47.6
	
69.5	14.6
	19.8
	21.2
	9.3
	9.3
	17.2
	11.3
	5.6
	5.4
21.5	10
	11
	10
	4.8
	17
	32.8
	5.9
	8
	6.7
	
	8.1
	11.8
	14
	7
	7.2
	16.5
	6.7
	9.2
	25.7
	22.6
	22.2
	18
	26.8
	17.4
	13.8
	20.1
	19.6
	20.6
	27.8
12370	34.2
	47.5
32000	29.4
	27.3
	20.5
	14
	24.3
	20
	26.5
	24.5
	18.2
	10.8
	18.2
	22.8
	7.7
30	7.3
	12.9
	
	44
	17.3
	11.5
493	26.6
	20.9
	5.6
	4.6
	6
18	7.8
	9.3
	10.8
	16.1
	16.1
	25.9
	15.3
	17.7
	14.2
	10.8
	11.2
	10.7
35500	12.7
	19.7
	18.3
	17
	17.4
87000	62
	20.3
	14.6
	15.2
	14.2
	15.7
	14.9
	14.7
	24.3
	29.8
	24.5
	19
	13
	15.8
	18
	9.4
	13.7
	12.5
	12.8
	19.5
	15.2
	20.4
	8.5
	14.4
	
	13
	15.1
	6.6
	18
	15.8
	22.8
	27
	16
	11.8
	27.3
1150	19.8
	17.1
	30.2
	33.6
	22
	20.7
	15.7
	19.2
	14.4
	15.3
	18.3
	19.8
	24.1
	21.3
	15
	23.8
	28.3
	14.6
	13.8
	31.6
	13.3
	17.1
	14.9
	19
	17.1
	20
	16.1
	14.8
	11.4
	24.9
	8.4
	14
	
	22
	25
	19
	9.7
	10.7
	16.4
	11
	14.3
	13.9
	10.9
	12.1
	8.7
	23.9
	21.7
	18
	24.2
	38.2
	19.1
	31.8
	14.7
	19.2
	18
	29.6
	22.9
	9.3
	13.8
	11
	14.2
	17.6
	16.2
	24.5
	22.1
	40
	18.8
	22.8
	19.3
	20.4
	11.8
	27.3
	16.7
	38.4
	37
	
	35.8
	21.8
	26.5
	15.8
	20.9
	27.4
	37.5
	37.4
	20
156500	37
160000	75
	
40500	
10250	47
58500	70.3
	11.3
420000	30
	27.3
371.8	61
	30
	24
	77
	120
	60
	40
	31.7
	14.5
	
	20.3
	20.3
	35.4
	15.7
720	
	44
	26.1
	
	138
	18.8
	24.9
	28.4
	
240	41.3
	16.1
	49.6
	19.5
	18.5
	19.2
	44.7
	36.5
	40
	26.3
	33.5
	29.3
	23.9
	54.8
	20.1
	41
	47
	18
	25.3
4500	
	27
	49
	35.2
	24.3
	152
	177
	30
	32.8
43000	54.3
	62.8
	30.7
5500	
	28.6
	
	32.9
	26.5
	24.8
	25.9
	19.9
	127
	
	21
	21.2
	26.2
	
	25.2
	17.8
	41
	50.6
	19.7
52250	48
	8.3
	18
	
	200
	50
	507
	0.16
	1550
	15000
	4713
	0.04
