	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY	ph
10346.Webster.5.A10.386	29671.0	1432	4.0	1	0.0	0	8.1
10346.Webster.5.A11.387	38661.0	1873	21.0	4	0.0	0	8.1
10346.Webster.5.A12.388	22628.0	1057	8.0	2	2.0	1	8.1
10346.Webster.5.A3.379	20336.0	732	51.0	3	0.0	0	8.1
10346.Webster.5.A4.380	25070.0	1015	2.0	1	0.0	0	8.1
10346.Webster.5.A6.382	40146.0	2138	1.0	1	0.0	0	8.1
10346.Webster.5.A9.385	51358.0	804	3.0	1	3.0	1	8.1
10346.Webster.5.B1.389	7194.0	568	21.0	5	1.0	1	8.1
10346.Webster.5.B2.390	47907.0	1080	58.0	8	0.0	0	8.1
10346.Webster.5.B3.391	42840.0	753	25.0	6	0.0	0	8.1
10346.Webster.5.B4.392	24242.0	819	5.0	2	1.0	1	8.1
10346.Webster.5.B5.393	25485.0	1204	22.0	4	0.0	0	8.1
10346.Webster.5.B6.394	31192.0	1516	16.0	4	1.0	1	8.1
10346.Webster.5.B7.395	16337.0	1438	3.0	3	0.0	0	8.1
10346.Webster.5.B8.396	43155.0	884	2.0	2	0.0	0	8.1
10346.Webster.5.C3.403	162831.0	1315	1.0	1	0.0	0	7.87
10346.Webster.5.C4.404	51720.0	763	0.0	0	1.0	1	7.87
10346.Webster.5.C9.409	75100.0	946	1.0	1	1.0	1	8.06
10346.Webster.5.D4.416	14680.0	418	3.0	1	0.0	0	7.67
10346.Webster.5.D7.419	23955.0	670	31.0	2	0.0	0	7.67
1035.UQ001	78768.0	1144	8.0	2	0.0	0	6.44
1035.UQ040	135928.0	1819	0.0	0	8.0	1	8.24
1035.UQ11002	95646.0	3168	1.0	1	0.0	0	7.94
1035.UQ11007	298509.0	4066	1.0	1	0.0	0	9.98
1035.UQ11012	497619.0	4140	172.0	2	2.0	1	9.11
1035.UQ11015	212363.0	2979	0.0	0	1.0	1	9.39
1035.UQ11017	280155.0	3898	0.0	0	1.0	1	9.25
1035.UQ11019	167574.0	2033	0.0	0	1.0	1	9.65
1035.UQ11020	317096.0	4353	0.0	0	1.0	1	10.03
1035.UQ11111.2.9	124349.0	1472	10.0	1	0.0	0	8.64
1035.UQ11117.0.8	279653.0	1289	292.0	3	0.0	0	9.5
1035.UQ11123.1.4	114765.0	1032	107.0	2	0.0	0	8.8
1035.UQ11125	553769.0	1792	528.0	3	0.0	0	9.09
1035.UQ11126.0.3	492150.0	1854	573.0	4	0.0	0	8.11
1035.UQ134	80249.0	1235	2.0	2	0.0	0	8.6
1035.UQ171	133043.0	2058	0.0	0	1.0	1	7.92
1035.UQ184	113723.0	1565	2.0	1	0.0	0	8.16
1035.UQ205	140632.0	787	1.0	1	0.0	0	9.45
1035.UQ223	97261.0	806	97.0	3	0.0	0	8.04
1035.UQ262	151851.0	3048	0.0	0	1.0	1	8.26
1035.UQ271	140469.0	2222	1.0	1	0.0	0	8.45
1035.UQ272	95590.0	1383	0.0	0	1.0	1	8.75
1035.UQ279	143124.0	1429	0.0	0	1.0	1	8.05
1035.UQ291	96062.0	1149	2.0	1	0.0	0	9.1
1035.UQ298	169641.0	2349	0.0	0	1.0	1	7.71
1035.UQ299	141083.0	1587	1.0	1	0.0	0	7.92
1035.UQ301	133079.0	2233	8.0	2	0.0	0	7.78
1035.UQ351	170505.0	2635	4.0	1	178.0	1	6.81
1035.UQ361	118465.0	2063	1.0	1	28.0	1	7.65
1035.UQ373	112800.0	1764	10.0	1	74.0	1	8.38
1035.UQ377	127566.0	2486	0.0	0	1.0	1	8.4
1035.UQ382	116374.0	2227	0.0	0	1.0	1	8.2
1035.UQ392	79696.0	1093	0.0	0	1.0	1	8.85
1035.UQ409	203354.0	2729	1.0	1	359.0	2	8.06
1035.UQ415	129411.0	2736	0.0	0	20.0	2	8.45
1035.UQ422	164417.0	1427	4.0	1	0.0	0	9.51
1035.UQ423	133170.0	1576	112.0	2	0.0	0	8.63
1035.UQ491	150674.0	1439	5.0	2	0.0	0	7.92
1035.UQ514	115773.0	831	276.0	3	0.0	0	10.04
1035.UQ517	65920.0	837	45.0	2	0.0	0	7.25
1035.UQ521	151682.0	2336	1.0	1	3.0	1	8.98
1035.UQ523	120223.0	1655	0.0	0	1.0	1	9.44
1035.UQ556	112844.0	1242	1.0	1	0.0	0	9.75
1035.UQ562	110123.0	999	3.0	1	0.0	0	8.32
1035.UQ578	163555.0	2841	0.0	0	413.0	5	8.62
1035.UQ586	84895.0	1286	9.0	1	5.0	1	8.69
1035.UQ609	111870.0	840	0.0	0	2.0	2	7.21
1035.UQ632	173341.0	2030	0.0	0	1.0	1	8.06
1035.UQ802	143075.0	1165	1.0	1	0.0	0	8.6
1035.UQ804	115420.0	1022	1.0	1	0.0	0	8.43
1035.UQ807	123732.0	1360	1.0	1	0.0	0	8.8
1035.UQ825	134966.0	1744	0.0	0	1.0	1	9.7
1035.UQ832	166245.0	1355	1.0	1	0.0	0	8.8
1035.UQ833	166815.0	2883	0.0	0	1.0	1	8.78
1035.UQ841	160845.0	2846	0.0	0	6.0	1	8.95
1035.UQ845	142519.0	1186	4.0	2	0.0	0	9.21
1035.UQ852	157873.0	2054	0.0	0	157.0	2	8.53
1035.UQ855	174978.0	1662	1.0	1	1.0	1	9.16
1035.UQ857	362318.0	1667	299.0	2	0.0	0	9.4
1035.UQ858	127030.0	1146	9.0	2	0.0	0	8.85
1035.UQ862	132455.0	1227	2.0	1	0.0	0	8.66
1035.UQ863	130224.0	1086	6.0	1	0.0	0	9.06
1035.UQ864	160983.0	895	54.0	2	0.0	0	9.27
1035.UQ865	135930.0	1201	3.0	1	0.0	0	9.04
1035.UQ866	265016.0	1426	34.0	3	0.0	0	8.46
1035.UQ870	99587.0	914	39.0	3	0.0	0	8.89
1035.UQ871	180460.0	1242	9.0	2	0.0	0	7.62
1035.UQ878	150962.0	1094	1.0	1	0.0	0	8.93
1035.UQ879	139683.0	1116	4.0	1	0.0	0	9.0
1035.UQ892	102576.0	2483	0.0	0	83.0	1	8.99
1036.A.Ac.2.1.s.4.1.sequences	188921.0	4038	0.0	0	54.0	1	5.56
1036.A.Ac.2.2.s.4.1.sequences	184486.0	3885	0.0	0	86.0	3	5.56
1036.A.C.0.1.s.4.1.sequences	184501.0	4258	1.0	1	53.0	2	5.56
1036.A.C.0.2.s.4.1.sequences	217891.0	4367	0.0	0	58.0	3	5.56
1036.A.C.2.1.s.4.1.sequences	210323.0	4178	0.0	0	77.0	1	5.56
1036.A.C.2.2.s.4.1.sequences	183078.0	4128	1.0	1	126.0	4	5.56
1036.A.N.2.1.s.4.1.sequences	165418.0	3848	0.0	0	52.0	1	5.56
1036.A.N.2.2.s.4.1.sequences	145605.0	3642	0.0	0	82.0	1	5.56
1036.A.N.7.1.s.4.1.sequences	174549.0	4199	1.0	1	123.0	1	5.56
1036.A.N.7.2.s.4.1.sequences	157178.0	3598	0.0	0	48.0	1	5.56
1036.A.V.2.1.s.4.1.sequences	170551.0	3705	1.0	1	40.0	1	5.56
1036.A.V.2.2.s.4.1.sequences	171520.0	3941	0.0	0	66.0	1	5.56
1036.B.Ac.14.1.s.4.1.sequences	154757.0	2468	1.0	1	16.0	1	5.16
1036.B.Ac.14.2.s.4.1.sequences	154896.0	2667	1.0	1	40.0	3	5.16
1036.B.Ac.2.1.s.4.1.sequences	128107.0	2475	1.0	1	10.0	2	5.16
1036.B.Ac.2.2.s.4.1.sequences	120267.0	2399	0.0	0	26.0	2	5.16
1036.B.Ac.21.1.s.4.1.sequences	138839.0	2496	0.0	0	49.0	1	5.16
1036.B.Ac.7.1.s.4.1.sequences	160644.0	2562	0.0	0	40.0	2	5.16
1036.B.Ac.7.2.s.4.1.sequences	129332.0	2335	0.0	0	31.0	1	5.16
1036.B.C.0.1.s.4.1.sequences	182803.0	2859	0.0	0	24.0	1	5.16
1036.B.C.0.2.s.4.1.sequences	161884.0	2492	0.0	0	16.0	1	5.16
1036.B.C.14.1.s.4.1.sequences	176672.0	2735	2.0	1	48.0	3	5.16
1036.B.C.14.2.s.4.1.sequences	138872.0	2564	0.0	0	29.0	4	5.16
1036.B.C.2.1.s.4.1.sequences	174253.0	2816	1.0	1	54.0	2	5.16
1036.B.C.2.2.s.4.1.sequences	120460.0	2262	0.0	0	24.0	2	5.16
1036.B.C.21.1.s.4.1.sequences	164245.0	2379	1.0	1	43.0	3	5.16
1036.B.C.7.1.s.4.1.sequences	139240.0	2421	1.0	1	61.0	3	5.16
1036.B.C.7.2.s.4.1.sequences	157364.0	2582	0.0	0	45.0	3	5.16
1036.B.N.14.1.s.4.1.sequences	169461.0	2740	0.0	0	39.0	3	5.16
1036.B.N.14.2.s.4.1.sequences	153834.0	2544	0.0	0	37.0	1	5.16
1036.B.N.2.1.s.4.1.sequences	137864.0	2601	2.0	1	37.0	2	5.16
1036.B.N.2.2.s.4.1.sequences	146866.0	2369	0.0	0	27.0	2	5.16
1036.B.N.21.1.s.4.1.sequences	134152.0	2593	0.0	0	48.0	2	5.16
1036.B.N.21.2.s.4.1.sequences	156638.0	2631	0.0	0	31.0	3	5.16
1036.B.N.7.1.s.4.1.sequences	253061.0	2835	0.0	0	32.0	1	5.16
1036.B.N.7.2.s.4.1.sequences	136332.0	2380	0.0	0	26.0	1	5.16
1036.P.Ac.14.1.s.4.1.sequences	111227.0	2145	2.0	2	196.0	8	6.2
1036.P.Ac.14.2.s.4.1.sequences	106512.0	2001	0.0	0	260.0	5	6.2
1036.P.Ac.2.1.s.4.1.sequences	168382.0	2547	0.0	0	350.0	10	6.2
1036.P.Ac.2.2.s.4.1.sequences	157603.0	2259	0.0	0	261.0	3	6.2
1036.P.Ac.21.1.s.4.1.sequences	170046.0	2531	0.0	0	246.0	10	6.2
1036.P.Ac.21.2.s.4.1.sequences	168952.0	2409	0.0	0	238.0	9	6.2
1036.P.Ac.7.1.s.4.1.sequences	175280.0	2592	0.0	0	283.0	8	6.2
1036.P.Ac.7.2.s.4.1.sequences	140585.0	1825	5.0	2	288.0	4	6.2
1036.P.C.0.1.s.4.1.sequences	156931.0	2568	0.0	0	261.0	4	6.2
1036.P.C.0.2.s.4.1.sequences	177139.0	2737	2.0	2	260.0	6	6.2
1036.P.C.14.1.s.4.1.sequences	174556.0	2642	1.0	1	352.0	9	6.2
1036.P.C.14.2.s.4.1.sequences	172539.0	2334	0.0	0	266.0	6	6.2
1036.P.C.2.1.s.4.1.sequences	120021.0	2132	0.0	0	308.0	6	6.2
1036.P.C.2.2.s.4.1.sequences	147327.0	2086	0.0	0	341.0	5	6.2
1036.P.C.21.1.s.4.1.sequences	162713.0	2371	0.0	0	381.0	9	6.2
1036.P.C.21.2.s.4.1.sequences	142475.0	2194	0.0	0	233.0	10	6.2
1036.P.C.7.1.s.4.1.sequences	172021.0	2052	4.0	3	599.0	8	6.2
1036.P.C.7.2.s.4.1.sequences	176317.0	2267	0.0	0	351.0	8	6.2
1036.P.N.14.1.s.4.1.sequences	186595.0	2341	0.0	0	624.0	7	6.2
1036.P.N.14.2.s.4.1.sequences	165896.0	2319	5.0	2	341.0	5	6.2
1036.P.N.2.1.s.4.1.sequences	126699.0	2280	0.0	0	341.0	11	6.2
1036.P.N.2.2.s.4.1.sequences	75771.0	1961	0.0	0	144.0	5	6.2
1036.P.N.21.1.s.4.1.sequences	152402.0	2452	3.0	2	394.0	8	6.2
1036.P.N.21.2.s.4.1.sequences	159233.0	2349	0.0	0	399.0	9	6.2
1036.P.N.7.1.s.4.1.sequences	120966.0	2209	6.0	1	243.0	5	6.2
1036.P.N.7.2.s.4.1.sequences	162915.0	2389	2.0	1	313.0	8	6.2
1038.CH1	140705.0	2805	0.0	0	1.0	1	3.8
1038.CH2	164056.0	3140	0.0	0	1.0	1	3.8
1038.CH3	128696.0	2832	0.0	0	1.0	1	3.8
1038.DC1	141797.0	4079	0.0	0	1.0	1	5.0
1038.DC2	115368.0	3765	0.0	0	16.0	1	5.0
1038.MF2.1	157966.0	4920	0.0	0	3.0	1	4.8
1038.MF2.2	116144.0	4395	0.0	0	2.0	2	4.8
1038.MR2	161449.0	5003	0.0	0	5.0	2	5.5
1038.MR3	144078.0	4910	0.0	0	1.0	1	5.5
1038.SP1	149734.0	4842	0.0	0	76.0	4	5.9
1038.SP2	175476.0	4316	0.0	0	3.0	1	5.9
1038.SP3	151557.0	4001	0.0	0	18.0	1	5.9
1041.M028.10	86209.0	908	9.0	1	0.0	0	8.273
1041.M028.100	92361.0	885	7.0	2	0.0	0	8.283999999999999
1041.M028.10m.off.bottom	69254.0	799	3.0	1	0.0	0	8.279
1041.M028.20	75550.0	766	3.0	2	0.0	0	8.293
1041.M028.2m.off.bottom	98475.0	971	6.0	1	2.0	1	8.279
1041.M028.5	100806.0	891	4.0	1	0.0	0	8.263
1041.M028.50	88400.0	932	3.0	1	0.0	0	8.289
1041.M041.10	46401.0	586	12.0	2	0.0	0	8.158
1041.M041.10m.off.bottom	49304.0	687	5.0	2	0.0	0	8.218
1041.M041.150	42942.0	601	2.0	1	0.0	0	8.208
1041.M041.20	55042.0	618	17.0	3	0.0	0	8.187999999999999
1041.M041.200	46838.0	630	7.0	1	0.0	0	8.213
1041.M041.2m.off.bottom	43279.0	663	11.0	3	2.0	1	8.214
1041.M041.5	55503.0	664	18.0	3	0.0	0	8.133
1041.M041.50	32969.0	484	3.0	1	0.0	0	8.198
1041.S001.10	25431.0	405	6.0	1	0.0	0	7.702000000000001
1041.S001.20	14334.0	341	41.0	2	0.0	0	7.752000000000001
1041.S001.2m.off.bottom	117267.0	924	7.0	1	0.0	0	7.782
1041.S001.5	67023.0	701	16.0	2	0.0	0	7.667000000000001
1041.S001.50	96178.0	819	2.0	2	0.0	0	7.772
1041.S008.10	60213.0	653	6.0	1	0.0	0	7.7620000000000005
1041.S008.100	86029.0	643	6.0	1	0.0	0	7.862
1041.S008.10m.off.bottom	75896.0	937	4.0	1	0.0	0	7.78
1041.S008.150	113897.0	744	5.0	1	1.0	1	7.867000000000001
1041.S008.20	98104.0	732	7.0	1	0.0	0	7.827000000000001
1041.S008.200	88902.0	724	5.0	1	0.0	0	7.872000000000001
1041.S008.2m.off.bottom	88097.0	1007	3.0	2	0.0	0	7.78
1041.S008.5	79726.0	665	4.0	2	1.0	1	7.691
1041.S008.50	52587.0	586	1.0	1	0.0	0	7.852
1041.S019.10	40426.0	603	5.0	1	1.0	1	7.817
1041.S019.100	76836.0	770	40.0	1	0.0	0	7.872000000000001
1041.S019.10m.off.bottom	80375.0	957	6.0	2	4.0	2	7.882000000000001
1041.S019.150	116242.0	953	11.0	1	3.0	1	7.872000000000001
1041.S019.20	76897.0	758	1.0	1	1.0	1	7.852
1041.S019.2m.off.bottom	85637.0	992	18.0	3	0.0	0	7.862
1041.S019.5	97392.0	866	8.0	2	3.0	3	7.787000000000001
1041.S019.50	95578.0	876	3.0	1	1.0	1	7.867000000000001
1041.S114.10	114225.0	960	14.0	2	0.0	0	7.932
1041.S114.100	95493.0	772	25.0	3	0.0	0	7.947
1041.S114.150	101363.0	926	13.0	1	0.0	0	7.9510000000000005
1041.S114.20	103969.0	880	110.0	3	0.0	0	7.947
1041.S114.200	90382.0	802	9.0	2	0.0	0	7.956
1041.S114.250	75505.0	805	11.0	1	0.0	0	7.966
1041.S114.300	84304.0	848	6.0	1	2.0	1	7.971
1041.S114.365	84225.0	785	4.0	1	0.0	0	7.976
1041.S114.5	86927.0	801	66.0	1	0.0	0	7.922000000000001
1041.S114.50	75675.0	741	35.0	2	0.0	0	7.952000000000001
1521.AR1.s.6.1.sequences	48412.0	2366	2.0	1	2.0	1	5.8
1521.AR2.s.6.1.sequences	72645.0	3144	6.0	1	3.0	2	6.0
1521.AR3.M.s.6.1.sequences	140523.0	3973	10.0	2	5.0	4	5.9
1521.AR3.s.6.1.sequences	118521.0	3535	8.0	1	3.0	3	5.9
1521.BB2.s.6.1.sequences	76784.0	2177	5.0	1	19.0	1	4.6
1521.BF1.s.6.1.sequences	139896.0	3221	9.0	1	1.0	1	4.05
1521.BP1.s.6.1.sequences	203695.0	6482	164.0	4	21.0	2	7.53
1521.BZ1.s.6.1.sequences	147306.0	3300	17.0	2	2.0	1	5.12
1521.CA1.s.6.1.sequences	192960.0	5041	83.0	3	17.0	1	7.27
1521.CA2.s.6.1.sequences	168408.0	5120	50.0	3	8.0	1	8.02
1521.CF3.s.6.1.sequences	144448.0	1533	4.0	2	0.0	0	3.56
1521.CL1.M.s.6.1.sequences	203128.0	5759	402.0	8	5.0	4	5.68
1521.CL1.s.6.1.sequences	162922.0	5323	2.0	2	1.0	1	5.68
1521.CL2.s.6.1.sequences	13756.0	2550	0.0	0	1.0	1	5.57
1521.CL4.s.6.1.sequences	91376.0	4560	142.0	2	9.0	3	5.03
1521.CM1.s.6.1.sequences	14489.0	2047	4.0	1	0.0	0	7.85
1521.CO1.s.6.1.sequences	112482.0	4442	25.0	1	21.0	3	6.13
1521.CO2.s.6.1.sequences	108025.0	3556	2.0	2	3.0	3	5.68
1521.CO3.s.6.1.sequences	171685.0	4688	1502.0	2	27.0	4	6.02
1521.CR1.s.6.1.sequences	199614.0	5315	3.0	2	4.0	2	8.0
1521.DF1.M.s.6.1.sequences	170627.0	5034	68.0	3	6.0	3	5.37
1521.DF1.s.6.1.sequences	159057.0	5112	3.0	1	2.0	2	5.37
1521.DF3.s.6.1.sequences	375134.0	4264	19.0	1	1.0	1	5.05
1521.EB017.M.s.6.1.sequences	139119.0	1927	2.0	2	13.0	1	6.26
1521.EB019.M.s.6.1.sequences	133813.0	1860	44.0	2	15.0	4	9.26
1521.EB020.M.s.6.1.sequences	210028.0	2140	74.0	2	101.0	2	9.95
1521.EB020.s.6.1.sequences	181544.0	1907	30.0	3	85.0	2	9.95
1521.EB021.M.s.6.1.sequences	195905.0	1498	1.0	1	20.0	2	9.17
1521.EB021.s.6.1.sequences	76294.0	986	0.0	0	3.0	2	9.17
1521.EB022.s.6.1.sequences	152187.0	1753	10.0	3	9.0	1	9.93
1521.EB023.s.6.1.sequences	201871.0	1856	7.0	2	85.0	1	5.03
1521.EB024.s.6.1.sequences	163356.0	1920	55.0	1	17.0	3	7.3
1521.EB026.s.6.1.sequences	139308.0	1589	37.0	2	0.0	0	8.73
1521.GB1.s.6.1.sequences	295969.0	5539	193.0	2	85.0	2	6.84
1521.GB3.s.6.1.sequences	331976.0	4946	14.0	1	7.0	2	7.18
1521.GB5.s.6.1.sequences	265728.0	5385	28.0	5	28.0	2	8.22
1521.HI1.s.6.1.sequences	152762.0	1926	72.0	2	0.0	0	6.45
1521.HI2.s.6.1.sequences	102402.0	4524	81.0	2	0.0	0	6.32
1521.HI4.s.6.1.sequences	327405.0	3602	30.0	1	26.0	9	4.92
1521.HJ1.s.6.1.sequences	283617.0	3432	4.0	1	7.0	2	5.41
1521.HJ2.s.6.1.sequences	321290.0	4841	84.0	1	7.0	2	5.36
1521.IE1.s.6.1.sequences	303254.0	5776	16.0	2	33.0	5	5.27
1521.IE2.s.6.1.sequences	203890.0	4544	292.0	1	12.0	2	5.52
1521.KP1.M.s.6.1.sequences	4081.0	42	2556.0	9	0.0	0	6.37
1521.KP1.s.6.1.sequences	281651.0	5554	129.0	3	22.0	1	6.37
1521.KP4.s.6.1.sequences	353827.0	5718	136.0	2	28.0	6	7.1
1521.LQ2.s.6.1.sequences	72462.0	2144	3.0	1	0.0	0	5.03
1521.LQ3.s.6.1.sequences	209606.0	3518	17.0	2	3.0	2	4.67
1521.MD2.s.6.1.sequences	244475.0	4195	71.0	3	54.0	2	7.65
1521.MD3.M.s.6.1.sequences	215231.0	4008	676.0	7	12.0	1	7.9
1521.MD3.s.6.1.sequences	283406.0	4119	144.0	5	35.0	2	7.9
1521.MD4.s.6.1.sequences	166811.0	2833	241.0	3	7.0	1	8.86
1521.MD5.s.6.1.sequences	225837.0	3574	55.0	2	8.0	1	8.07
1521.MP1.s.6.1.sequences	155047.0	3090	15.0	2	0.0	0	4.56
1521.MT1.s.6.1.sequences	74050.0	4094	2.0	1	8.0	3	7.57
1521.MT2.s.6.1.sequences	104495.0	3778	5.0	1	25.0	2	6.66
1521.NTP11.s.6.1.sequences	8259.0	56	1.0	1	0.0	0	7.86
1521.NTP12.s.6.1.sequences	186709.0	5047	133.0	3	19.0	2	7.08
1521.NTP13.s.6.1.sequences	83561.0	4013	75.0	2	4.0	1	7.18
1521.NTP18.s.6.1.sequences	167571.0	4138	33.0	2	4.0	1	6.22
1521.NTP2.s.6.1.sequences	126732.0	3977	2.0	2	1.0	1	6.85
1521.NTP21.s.6.1.sequences	1880.0	43	0.0	0	1.0	1	6.65
1521.NTP24.s.6.1.sequences	192023.0	4019	18.0	2	5.0	1	7.11
1521.NTP25.s.6.1.sequences	124208.0	3778	34.0	2	7.0	2	6.52
1521.NTP26.s.6.1.sequences	180789.0	5138	63.0	2	10.0	3	7.46
1521.NTP27.s.6.1.sequences	170079.0	4201	4.0	2	40.0	2	6.83
1521.NTP28.s.6.1.sequences	178815.0	3479	55.0	1	11.0	3	7.05
1521.NTP29.s.6.1.sequences	182271.0	5130	121.0	3	8.0	4	6.79
1521.NTP33.s.6.1.sequences	226849.0	7292	356.0	4	30.0	2	6.97
1521.NTP34.s.6.1.sequences	226897.0	5224	4.0	1	38.0	3	6.14
1521.NTP36.s.6.1.sequences	247030.0	5896	15.0	2	6.0	3	6.71
1521.NTP38.s.6.1.sequences	79156.0	3706	1.0	1	9.0	3	6.48
1521.NTP39.s.6.1.sequences	118972.0	5501	9.0	2	29.0	3	5.815
1521.NTP4.s.6.1.sequences	159602.0	4380	892.0	1	18.0	2	7.55
1521.NTP5.s.6.1.sequences	1384.0	163	96.0	2	0.0	0	6.57
1521.NTP8.s.6.1.sequences	141005.0	3762	200.0	2	5.0	2	4.32
1521.NTP9.s.6.1.sequences	148644.0	4129	554.0	3	7.0	3	5.93
1521.PE5.s.6.1.sequences	130512.0	2346	29.0	2	0.0	0	3.57
1521.PE6.M.s.6.1.sequences	99885.0	3005	49.0	2	0.0	0	4.12
1521.PE6.s.6.1.sequences	243621.0	3864	164.0	2	0.0	0	4.12
1521.PE7.s.6.1.sequences	125295.0	6067	2.0	1	5.0	1	5.51
1521.RT2.s.6.1.sequences	162571.0	4157	12.0	2	2.0	2	8.07
1521.SA1.s.6.1.sequences	156081.0	5046	109.0	2	25.0	1	6.9
1521.SF1.s.6.1.sequences	153294.0	4918	31.0	2	4.0	1	7.71
1521.SF2.M.s.6.1.sequences	130275.0	4111	40.0	4	11.0	2	8.38
1521.SF2.s.6.1.sequences	243390.0	4722	39.0	2	17.0	1	8.38
1521.SK1.s.6.1.sequences	122548.0	2569	2.0	1	1.0	1	5.45
1521.SK2.s.6.1.sequences	127989.0	4654	2.0	2	252.0	6	6.18
1521.SN3.s.6.1.sequences	190324.0	4326	412.0	1	45.0	2	5.74
1521.SP1.s.6.1.sequences	232765.0	5553	286.0	4	115.0	2	6.25
1521.SP2.s.6.1.sequences	155682.0	3787	18.0	1	30.0	3	5.13
1521.SR1.s.6.1.sequences	92124.0	4355	57.0	2	9.0	2	6.84
1521.SR2.s.6.1.sequences	102630.0	4096	7.0	2	0.0	0	8.0
1521.SR3.s.6.1.sequences	75630.0	3861	24.0	2	31.0	1	6.95
1521.SV1.M.s.6.1.sequences	126490.0	3837	30.0	4	4.0	1	8.31
1521.SV1.s.6.1.sequences	96325.0	3431	32.0	4	4.0	1	8.31
1521.SV2.s.6.1.sequences	115850.0	3928	38.0	4	3.0	1	8.44
1521.TL1.s.6.1.sequences	129139.0	2744	7.0	3	1.0	1	4.58
1521.TL3.s.6.1.sequences	216401.0	2496	2.0	1	3.0	1	4.23
1521.VC1.s.6.1.sequences	110904.0	3653	5.0	1	14.0	2	5.55
1530.NC.2004.B2.D1.1	476114.0	3923	0.0	0	16.0	2	5.69
1530.NC.2004.B2.D1.2	464154.0	3956	0.0	0	22.0	3	5.69
1530.NC.2004.B2.D10.19	758436.0	1625	0.0	0	125.0	4	5.05
1530.NC.2004.B2.D10.20	486161.0	1411	0.0	0	93.0	4	5.05
1530.NC.2004.B2.D2.3	562362.0	1416	1.0	1	65.0	3	5.94
1530.NC.2004.B2.D2.4	624623.0	1480	0.0	0	105.0	3	5.94
1530.NC.2004.B2.D3.6	194723.0	1480	0.0	0	92.0	2	4.3
1530.NC.2004.B2.D4.7	424234.0	2421	2.0	1	43.0	3	4.66
1530.NC.2004.B2.D4.8	435169.0	2394	0.0	0	50.0	2	4.66
1530.NC.2004.B2.D5.10	1238795.0	3047	0.0	0	85.0	4	5.45
1530.NC.2004.B2.D5.9	478325.0	2348	0.0	0	36.0	1	5.45
1530.NC.2004.B2.D6.11	884768.0	3072	0.0	0	18.0	2	5.73
1530.NC.2004.B2.D6.12	636693.0	2776	1.0	1	18.0	2	5.73
1530.NC.2004.B2.D7.13	2310490.0	3288	1.0	1	80.0	5	4.67
1530.NC.2004.B2.D7.14	694775.0	2498	1.0	1	22.0	5	4.67
1530.NC.2004.B2.D8.15	644252.0	2575	0.0	0	53.0	3	5.15
1530.NC.2004.B2.D8.16	660558.0	2210	0.0	0	48.0	3	5.15
1530.NC.2004.B2.D9.17	373773.0	1632	1.0	1	100.0	4	5.12
1530.NC.2004.B2.D9.18	508338.0	1716	3.0	2	96.0	4	5.12
1530.NC.2004.B4.D10.39	354164.0	1396	20.0	1	178.0	4	5.65
1530.NC.2004.B4.D10.40	279000.0	1181	44.0	2	212.0	3	5.65
1530.NC.2004.B4.D2.23	201899.0	2332	0.0	0	3.0	1	3.5
1530.NC.2004.B4.D2.24	239407.0	2553	0.0	0	6.0	1	3.5
1530.NC.2004.B4.D3.25	377546.0	2839	0.0	0	1.0	1	4.86
1530.NC.2004.B4.D4.27	513814.0	3388	1.0	1	49.0	4	4.98
1530.NC.2004.B4.D4.28	483067.0	3390	0.0	0	45.0	3	4.98
1530.NC.2004.B4.D5.29	441635.0	2609	2.0	1	31.0	2	5.85
1530.NC.2004.B4.D5.30	643237.0	2974	0.0	0	45.0	1	5.85
1530.NC.2004.B4.D6.31	715796.0	3068	0.0	0	62.0	2	4.37
1530.NC.2004.B4.D6.32	415935.0	2599	1.0	1	41.0	2	4.37
1530.NC.2004.B4.D7.33	326673.0	1985	0.0	0	60.0	2	4.73
1530.NC.2004.B4.D7.34	338679.0	1954	0.0	0	51.0	2	4.73
1530.NC.2004.B4.D8.35	334572.0	1460	14.0	2	64.0	4	5.44
1530.NC.2004.B4.D8.36	281414.0	1372	10.0	3	54.0	1	5.44
1530.NC.2004.B4.D9.37	474283.0	2010	0.0	0	194.0	6	4.99
1530.NC.2004.B4.D9.38	444059.0	2018	0.0	0	172.0	6	4.99
1530.NC.C.U1.D10.59	327923.0	1195	0.0	0	437.0	3	5.64
1530.NC.C.U1.D10.60	328174.0	1114	0.0	0	420.0	6	5.64
1530.NC.C.U1.D2.43	305395.0	1358	4.0	1	430.0	5	4.52
1530.NC.C.U1.D3.45	494602.0	2470	0.0	0	3.0	1	3.83
1530.NC.C.U1.D3.46	427633.0	2346	0.0	0	3.0	3	3.83
1530.NC.C.U1.D4.47	476488.0	2412	0.0	0	13.0	2	4.24
1530.NC.C.U1.D4.48	793847.0	2713	0.0	0	14.0	1	4.24
1530.NC.C.U1.D5.49	408885.0	2381	0.0	0	5.0	1	4.7
1530.NC.C.U1.D5.50	802194.0	2982	0.0	0	40.0	2	4.7
1530.NC.C.U1.D6.51	633878.0	1922	0.0	0	45.0	3	5.38
1530.NC.C.U1.D6.52	434008.0	1721	2.0	1	38.0	2	5.38
1530.NC.C.U1.D7.53	538694.0	1836	0.0	0	200.0	3	4.83
1530.NC.C.U1.D7.54	653501.0	1897	0.0	0	204.0	4	4.83
